index
reducemax                                                                              [13.81490384615385]
squeeze              [0.0, 0.0, 72.1925022090021, 6.70774043079074, 32.131064790988894, 32.26981341683651]
fork                                                                                  [1.3411598366755253]
relu                                                               [24.12499999999998, 2.0000000000000213]
accum        [0.009369373400953167, 0.0, 10.890855862293341, 0.0, 0.10118848112250502, 0.1517195488474497]
buffer                    [2.7933474044219584, 2.5534841081425625, 3.888858978821283, 0.08518290507117575]
sliding                                             [2.2412811014433096, 0.0, 0.0, 0.0, 268.9912287045314]
softmax                                                                               [26.659999999999997]
conv                                                          [658.8505776447937, 164.64079782697917, 0.0]
glue                                                [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 648.9383156606852, 0.0]
pool                                                         [0.0, 447.79831674652934, 0.0, 0.0, 0.0, 0.0]
exponen                [0.05213050538435688, 0.06658331818223703, 0.09464670666202146, 31.982341588959102]
compare                                                                               [20.575980392156858]
