index
reducemax                                                                                               [8.127403846153847]
squeeze                                                                         [0.0, 0.0, 62.0012323510193, 0.0, 0.0, 0.0]
fork                                                                                                    [0.810999165259251]
relu                                                                                [18.81030264588618, 1.4309532439289685]
accum        [0.007517605999887342, 0.0, 11.488808275929513, 0.00575747199558407, 0.09112892329972766, 0.17659843077874635]
buffer                                                      [3.1213603100131024, 2.472304730215281, 4.783985050404668, 0.0]
sliding                                                             [2.8237269452240663, 0.0, 0.0, 0.0, 189.28066965353236]
softmax                                                                                                [28.772499999999994]
conv                                                                           [463.1637645632311, 142.83476476224536, 0.0]
glue                                                                 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 733.7549959216965, 0.0]
pool                                                                            [0.0, 267.444956382848, 0.0, 0.0, 0.0, 0.0]
exponen                                    [0.0364038095829151, 0.04301697983430306, 0.0667773819817755, 66.80599702820744]
compare                                                                                                 [9.563725490196077]
